...1,Country,avg_play_per_day,heaviness,duration_per_capita,cluster,clusterName
0,JO,11.55844827,0.598379303,34.2111687,0,A-Type
1,CN,14.63055468,0.597443192,12.27606613,0,A-Type
2,TH,15.37902438,0.588899403,41.81617914,5,E-Type
3,SG,19.02285974,0.587608434,62.69518237,4,H-Type
4,DE,11.44798978,0.581925673,35.26600734,0,A-Type
5,KR,18.95321981,0.580280914,75.23761782,4,H-Type
6,CH,9.687655622,0.580047025,29.85772507,0,A-Type
7,AT,10.72127516,0.579869125,28.70724652,0,A-Type
8,LI,9.930308491,0.574846611,23.9260715,0,A-Type
9,MO,16.83733497,0.573435604,55.58208763,4,H-Type
10,SI,9.790534796,0.572309436,26.05301972,0,A-Type
11,SE,8.928115259,0.571559478,35.79127309,0,A-Type
12,IT,10.69456658,0.568678546,26.52072935,0,A-Type
13,HK,22.01740259,0.566715641,89.12994974,4,H-Type
14,LT,10.41537975,0.564888294,33.06441923,0,A-Type
15,BG,10.7244265,0.564470782,23.17654452,0,A-Type
16,LU,10.49598515,0.563098158,33.41339874,0,A-Type
17,BE,9.380806955,0.560621438,31.30482816,0,A-Type
18,LV,11.55735403,0.558111694,32.99401273,0,A-Type
19,CA,10.86784937,0.556553466,43.66468636,5,E-Type
20,SK,10.68813783,0.556535287,24.60385984,0,A-Type
21,LB,12.2535022,0.556409391,31.7551142,0,A-Type
22,GB,9.491021796,0.555818852,39.60487062,0,A-Type
23,FR,10.75952639,0.555657447,36.03651939,0,A-Type
24,US,10.04940945,0.554666881,48.05485132,5,E-Type
25,NL,10.07196409,0.554657125,34.83647974,0,A-Type
26,SM,10.32861117,0.553578671,19.1218369,0,A-Type
27,CZ,11.21203946,0.553200448,29.69101066,0,A-Type
28,GR,12.49198771,0.55206172,29.59340241,0,A-Type
29,ES,10.51390663,0.551219019,27.14016468,0,A-Type
30,EE,10.6041859,0.55070836,28.40804854,0,A-Type
31,AU,9.747216792,0.549341626,41.27506906,5,E-Type
32,GI,8.882622593,0.548236904,47.70646583,5,E-Type
33,DK,9.024386322,0.547577494,38.03711042,0,A-Type
34,HU,10.61681026,0.547025431,28.10041941,0,A-Type
35,CY,10.6092108,0.544585437,35.48171431,0,A-Type
36,BM,9.716029281,0.543183038,41.8711928,5,E-Type
37,NO,9.066571441,0.540083892,33.32514843,0,A-Type
38,PL,10.89040936,0.538802447,24.72771317,0,A-Type
39,PS,10.59704121,0.538138129,25.98525651,0,A-Type
40,MT,10.13358223,0.537180823,28.25242993,0,A-Type
41,IL,7.830648985,0.537153506,31.25834094,0,A-Type
42,HR,10.91900782,0.536892515,26.80906253,0,A-Type
43,AD,11.08933762,0.535434114,33.7444767,0,A-Type
44,BY,13.47784215,0.533039008,39.62244877,5,E-Type
45,IM,9.730716589,0.532070909,40.85175056,5,E-Type
46,KW,7.046520864,0.530959747,25.96279406,0,A-Type
47,IS,8.905861454,0.530488332,37.96397186,0,A-Type
48,RU,13.04266543,0.529956246,37.75737786,5,E-Type
49,JP,16.9225867,0.529798707,50.14382404,5,E-Type
50,UA,13.84983154,0.529122099,30.98270829,0,A-Type
51,IE,9.609144468,0.527659522,27.09449125,0,A-Type
52,KY,9.513910611,0.524753944,33.09943878,0,A-Type
53,NZ,11.27617024,0.524040734,36.79543406,5,E-Type
54,PT,11.46013851,0.523144719,28.6152093,0,A-Type
55,RO,10.75702477,0.523133415,21.66327375,0,A-Type
56,RS,11.70112684,0.517900392,21.92494582,0,A-Type
57,BB,13.34438476,0.516784042,52.15185591,5,E-Type
58,MC,11.48046709,0.513474158,22.01413543,0,A-Type
59,FI,10.06492449,0.508093251,25.24879944,0,A-Type
60,QA,8.779572392,0.507649801,20.66964533,0,A-Type
61,PR,10.20899044,0.506592629,26.70813814,0,A-Type
62,CW,11.69330298,0.505172631,41.59391979,5,E-Type
63,VI,10.68484381,0.504261397,31.18995005,0,A-Type
64,CL,10.28153696,0.503661662,34.58400096,0,A-Type
65,TT,13.61423191,0.502442454,40.89505532,5,E-Type
66,GU,11.73050583,0.50177848,65.79425006,5,E-Type
67,AW,11.4237513,0.498818662,40.05829799,5,E-Type
68,AE,9.179280166,0.497559799,24.94114862,0,A-Type
69,BN,13.07414893,0.496962913,48.9507344,5,E-Type
70,LC,13.60072505,0.496600813,35.16597173,5,E-Type
71,BH,7.913083873,0.496107036,20.83342357,0,A-Type
72,MY,14.82670723,0.49461595,33.58590536,1,C-Type
73,MP,11.19672502,0.494289765,5.904344302,6,D-Type
74,ME,11.96781857,0.491341139,30.02678017,1,C-Type
75,TR,13.13316822,0.490996533,26.86812356,1,C-Type
76,PH,17.09103649,0.49087765,19.71229465,1,C-Type
77,AM,13.35007503,0.488931034,26.38457421,1,C-Type
78,GD,12.7374942,0.487669387,31.16220693,1,C-Type
79,MD,12.55924911,0.487416575,29.30104693,1,C-Type
80,VG,12.03053944,0.48685059,40.7793081,5,E-Type
81,FO,8.163639054,0.486790089,34.38170646,0,A-Type
82,BS,11.00530109,0.484896759,31.7845212,1,C-Type
83,DM,12.76855156,0.484200277,26.11247603,1,C-Type
84,MU,10.92011472,0.484110029,24.40842269,1,C-Type
85,BA,12.26370264,0.484073135,18.23526001,1,C-Type
86,MK,11.09518634,0.482608863,21.16170095,1,C-Type
87,UY,12.74168749,0.480319719,26.21831224,1,C-Type
88,KN,12.25445571,0.480032184,35.5166867,1,C-Type
89,PF,14.40279921,0.4788388,32.59163167,1,C-Type
90,AL,12.24109723,0.477984426,19.9088771,1,C-Type
91,SX,12.06696678,0.477736106,51.31002924,5,E-Type
92,PW,12.77731632,0.477285404,34.06294435,1,C-Type
93,ZA,13.85843871,0.474207797,7.201296046,6,D-Type
94,GL,9.306286884,0.474058791,42.58126017,5,E-Type
95,NC,14.57624189,0.473928595,34.78059448,1,C-Type
96,GE,11.78823108,0.472713323,26.92751898,1,C-Type
97,SA,7.901472235,0.469453952,22.90233354,1,C-Type
98,VC,12.97368179,0.467053065,40.9481284,5,E-Type
99,AS,10.90641414,0.465021515,28.53494272,1,C-Type
100,MF,11.42109667,0.459738526,23.3875225,1,C-Type
101,BR,12.39452783,0.458067682,21.84458216,1,C-Type
102,CR,12.01493513,0.456843858,24.76397956,1,C-Type
103,AZ,14.49705331,0.452857378,19.7818466,1,C-Type
104,AG,13.64515064,0.451042063,43.54559084,5,E-Type
105,LA,13.16032913,0.450982551,8.779850168,6,D-Type
106,TC,10.99784791,0.450599192,30.38491341,1,C-Type
107,PE,12.8701567,0.447887297,16.92794618,6,D-Type
108,PA,12.87631151,0.44625366,19.98429618,1,C-Type
109,SR,13.51149027,0.446119649,21.96196089,1,C-Type
110,AR,13.91641481,0.44610043,21.80972759,1,C-Type
111,KZ,13.05981978,0.445462602,33.13261534,1,C-Type
112,JM,13.4157845,0.44471771,23.40671485,1,C-Type
113,XK,11.50625882,0.4400509,28.15593489,1,C-Type
114,BZ,13.45904905,0.43954539,20.38128307,1,C-Type
115,GY,13.62925442,0.437755366,24.55157403,1,C-Type
116,OM,8.836763023,0.437491356,14.15071409,6,D-Type
117,MH,12.51417885,0.432940422,19.29131292,6,D-Type
118,MG,17.25981965,0.432860655,0.266701015,2,B-Type
119,MN,10.91092131,0.43266069,21.56248621,1,C-Type
120,VN,26.82573086,0.430392778,18.45051181,7,G-Type
121,NP,11.97581413,0.429246323,4.648738475,6,D-Type
122,BW,13.15959927,0.427247735,3.583287666,6,D-Type
123,UZ,15.3869634,0.426131314,6.695008412,6,D-Type
124,NA,14.13570173,0.425736552,5.177196132,6,D-Type
125,SC,14.95060017,0.423769256,31.87396991,1,C-Type
126,GA,13.45659618,0.423549385,4.680944708,6,D-Type
127,CO,12.39856576,0.423251721,14.54390579,6,D-Type
128,PK,12.39157012,0.422507641,4.156204969,6,D-Type
129,AO,13.31073923,0.421889058,0.4261784,6,D-Type
130,BO,13.93851396,0.420603502,14.78537506,6,D-Type
131,MX,11.83265919,0.420400282,18.28909818,6,D-Type
132,KG,13.79619616,0.412851701,19.12110883,6,D-Type
133,EC,12.50998021,0.412347261,14.66807923,6,D-Type
134,CG,15.31542689,0.412207823,0.640415048,2,B-Type
135,ST,15.88331887,0.41133184,1.864164995,2,B-Type
136,ID,17.68847556,0.409374039,16.76459796,6,D-Type
137,VE,16.72967551,0.407049405,10.37973249,2,B-Type
138,MV,11.69617586,0.406191345,22.43344672,6,D-Type
139,EG,11.6589841,0.406157608,11.65458815,6,D-Type
140,TN,12.66096689,0.405919314,11.54381673,6,D-Type
141,CD,14.36304582,0.400920972,0.169705434,2,B-Type
